Date,PV Output/Generated Energy (kWh/kWp)
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/1/2020,2.480313095
1/2/2020,3.753078611
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/2/2020,3.756368489
1/3/2020,3.604071829
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/3/2020,3.607441386
1/4/2020,2.488625704
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/4/2020,2.491094975
1/5/2020,3.063700711
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/5/2020,3.066912622
1/6/2020,3.623395464
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/6/2020,3.627393199
1/7/2020,3.790663396
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/7/2020,3.79504901
1/8/2020,2.982120703
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/8/2020,2.985726743
1/9/2020,3.03447326
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
1/9/2020,3.038296826
